radar_include,app_CODE,App_name,app_image,Author,Linked_megatrends,main_mega_link,Count mega trends,linked_microtrends,micro_code_list,MicroT #1,MicroT #2,MicroT #3,MicroT #4,MegaT #1,MegaT #2,MegaT #3,MegaT #4,App_description,filter_lists,implementation,technology,partner
1,VIRTASSI,Virtual Assistants,https://imagesvc.timeincapp.com/v3/mm/image?url=https%3A%2F%2Ffortunedotcom.files.wordpress.com%2F2016%2F12%2Fgatebox-hikari-youtube.jpg&w=800&q=85,tpc,"Seamlessness/Ease


",vocabulary_ich_1269,1,"A-Commerce,Body As Interface,Instant Written Customer Service","MT11,MT22,MT03",MT11,MT22,MT03,,Seamlessness/Ease,Seamlessness/Ease,Seamlessness/Ease,,"Virtual assistants can provide quick information to customers, employees or partners on the go. These assistants can be available to remote users through smartphones, smart speakers, or smart appliances. Presential users can access these assistants through kiosks. Chatbots can provide quick information to customers, employees or partners on the go. Can be made available through dedicated messaging APPs like WhatsAPP or embedded in existing channels like the on-line stores or APPs.",logistics,5,0,5
1,AUTOORDE,Automatic Order and Checkout,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Seamlessness/Ease
Continuous Connection

",vocabulary_ich_1269,2,"A-Commerce,Instant Gratification,Quicker Frequent Shopping","MT11,MT36,MT21",MT11,MT36,MT21,,Seamlessness/Ease,Continuous Connection,Seamlessness/Ease,,"Automatic ordering and checkout is the simplest embodiment of the A-commerce trend. The aim of this application is always to rid the customer journey of all friction at the checkout and ordering stages. Subconsciously, if companies already carry so much data on consumers, why should they ever have to ask for confirmation/details on an action they've performed tens, hundreds or even thousands of times.
I've bought the same toilet paper for 3 years in a row, can the multi-million euro retailer I shop at pick up on that? ",pcg,4,0,8
1,AUTOSTYL,Automatic Styling or Curatorship,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Seamlessness/Ease


",vocabulary_ich_1269,1,"A-Commerce,Quicker Frequent Shopping","MT11,MT21",MT11,MT21,,,Seamlessness/Ease,Seamlessness/Ease,,,"Automated styling is the most organic practical hemisphere of automated commerce. This previously sci-fi reserved ambition, would in theory (not for long) curate a consumer's cart whenever they need an extra hand with choosing or simply aren't interested in spending time differentiating between two products. For some, shopping for a summer wardrobe is a ritual, for others a pain. Despite it all, with select products and services, a majority of people don't necessarily value time spent in choosing - think detergent, toilet paper, toothpaste. Wouldn't it be amazing to have the ""just choose the cheapest one"" or ""get me anything whitening and minty"".",humanresources,4,0,2
1,EMPOAWAR,Empower and Raise awareness,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Corporate Responsibility


",vocabulary_ich_1284,1,Aging Workforce,MT19,MT19,,,,Corporate Responsibility,,,,"While we can tackle the aging problem by leveraging complex engineering solutions, the human dimension remains. This sphere is often harder to approach due to its inherent abstractiveness and inertia for culture change. A well-oiled corporate environment in the future will necessarily nurture collaboration between senior and junior employees - optimizing knowledge transfer and better exploring the value of experience so commonly overlooked.",logistics,6,2,0
1,GREYGIGS,Grey Gigs,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Corporate Responsibility


",vocabulary_ich_1284,1,Aging Workforce,MT19,MT19,,,,Corporate Responsibility,,,,Making part-time or freelance job opportunities available to retirees to overcome scarcity of labour and allow them an extra income stream and a renewed sense of purpose.,pcg,1,0,0
1,CRUEFREE,Cruelty free products,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Corporate Responsibility


",vocabulary_ich_1284,1,Animal Rights,MT43,MT43,,,,Corporate Responsibility,,,,,humanresources,4,0,1
1,AWARCAMP,Awareness Campaigns,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Corporate Responsibility


",vocabulary_ich_1284,1,Animal Rights,MT43,MT43,,,,Corporate Responsibility,,,,,logistics,1,0,0
1,TOOLHUMA,Tools to provide humanized services,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Authenticity/Disconnection
Seamlessness/Ease

",vocabulary_ich_1265,2,"Authentic People,Instant Written Customer Service","MT07,MT03",MT07,MT03,,,Authenticity/Disconnection,Seamlessness/Ease,,,Provide tools that deliver quick and relevant information for employees of customer care (call centres) to allow the written contact with several customers simultaneously. ,pcg,0,0,1
1,PRAIHUMA,Praise humanity,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Authenticity/Disconnection


",vocabulary_ich_1265,1,Authentic People,MT07,MT07,,,,Authenticity/Disconnection,,,,"With robots and automation making more and more frequent appearances in our everyday lives, we, people, are confronted with the progressive decrease in human interaction. Despite this, at our core, we are social animals, and we like being with other people (whether we like it or not, ah!). A collateral consequence that arises is that people give authenticity and humanity higher value. Federico Marchetti said it beautifully when he predicted that ""in the future there will be one label that will convey [a sense quality] to the customers - 'Made by Humans'"".
Making the right choices when it comes to automation isn't always limited to efficiency and cost. Allowing the human touch to permeate your products and services where it matters most, can be a powerful loyalty driver, justifying and even contradicting RPAs or seamlessness.",humanresources,3,1,2
1,OFFLPROD,Offline products and services,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Authenticity/Disconnection


",vocabulary_ich_1265,1,Authentic People,MT07,MT07,,,,Authenticity/Disconnection,,,,,logistics,3,0,0
1,MULTCITI,Multicultural Cities,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Authenticity/Disconnection


",vocabulary_ich_1265,1,Authentic People,MT07,MT07,,,,Authenticity/Disconnection,,,,"With an increasing number of open borders and conflit fleeding populations, big cities incorporate the work of more and more nationalities. This forces cultures to cohabit in the same spaces, having influences in food and cultural options available.",pcg,0,0,0
1,VOICCONT,Voice Control,https://cdn.pixabay.com/photo/2018/02/14/21/18/audio-3153963_960_720.jpg,aec,"Seamlessness/Ease


",vocabulary_ich_1269,1,Body As Interface,MT22,MT22,,,,Seamlessness/Ease,,,,"Interfacing is a hot topic nowadays. Depending on the industry, a platform's ease of use (or lack thereof) can overturn entire business ventures. It is unquestionable that we veer towards a future where human-machine interfaces are more organic, aiming to eradicate learning curves.
Currently, voice control is, with little doubt, the closest we have to achieving the fluidity necessary for this - we certainly must teach someone what ""Ctrl+A"" is, and does anything interesting, but shouting ""Hey Siri, play me the Beatles"" comes second to language (and some good taste...).",humanresources,4,0,1
1,MOTICONT,Motion Control,http://www.flamanko.com/wp-content/uploads/nathan-fertig-334383-1920x1080-c-default.jpg,aec,"Seamlessness/Ease


",vocabulary_ich_1269,1,Body As Interface,MT22,MT22,,,,Seamlessness/Ease,,,,"Another iteration in the new interface world, motion control is one that ambitions (arguably) the easiest learning processes. Motion for control is an obvious extension of our sensorial world. A trivial example is the simple but revolutionary ""pinch-to-zoom"" gesture popularised to omnipresence (and usually attributed to Apple's first iPhone).",logistics,2,4,3
1,BIOMVALI,Biometric Validation and Analytics,https://d1sr9z1pdl3mb7.cloudfront.net/wp-content/uploads/2018/05/25115416/universal-biometric-identity-1024x576.jpg,tpc,"Seamlessness/Ease


",vocabulary_ich_1269,1,Body As Interface,MT22,MT22,,,,Seamlessness/Ease,,,,"People use their unique biological traits to be identified, manage access to resources or authorize payments through voice, fingerprint or iris recognition. After the biometric identification employees, partners and customers access admission-controlled assets (e.g. offices, technical areas, or lockers) or classified information (e.g. interaction with customer care, or APPs) without using codes or cards.",pcg,2,1,4
1,REFIPACK,Refill Packages/Reusable Packages,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Bulk Foods,MT33,MT33,,,,Sustainability,,,,,humanresources,1,0,2
1,OMNIBULK,Omnichannel bulk foods,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Bulk Foods,MT33,MT33,,,,Sustainability,,,,,logistics,2,0,1
1,FOODPREP,Instore Food Preparation,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,man,"Sustainability


",vocabulary_ich_1286,1,Bulk Foods,MT33,MT33,,,,Sustainability,,,,"Lives are changing, with easy access to different lifestyles people may not be dedicated to traditional activities anymore. This means that tasks like buying raw and cooking may be replaced for ordering in, having take-away food or eating out. By transforming supermarkets into food preparation locations we are creating an in-between of restaurants and home-cooking. ",pcg,0,0,2
1,CORPOASI,Corporate Oasis,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,aec,"Corporate Responsibility


",vocabulary_ich_1284,1,Corporate Campuses,MT24,MT24,,,,Corporate Responsibility,,,,While Flexible Workplaces is an unquestionable trending success,humanresources,2,0,1
1,LEARFACI,Learning facilitators,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,tpc,"Sustainability


",vocabulary_ich_1286,1,Eternal Newbies,MT12,MT12,,,,Sustainability,,,,,logistics,0,0,1
1,CONTTRAI,Continuous Employee Training,https://thewire-cableonebiz.com/wp-content/uploads/2017/12/thewire-The-Importance-of-Continuous-Training-for-Employees.jpg,jgp,"Sustainability


",vocabulary_ich_1286,1,Eternal Newbies,MT12,MT12,,,,Sustainability,,,,"The new technological revolution is drastically decreasing the average half-life of learned skills. Thus, it's of the utmost importance for companies and employees to adapt to the roulette of new scenarios by gathering as many tools as possible. Knowledge is quantic nowadays. ",pcg,6,1,1
1,OPENCOUR,Open online courses,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Sustainability


",vocabulary_ich_1286,1,Eternal Newbies,MT12,MT12,,,,Sustainability,,,,Offering open enrollment courses through the web/mobile.,humanresources,0,0,0
1,EDUCRETA,Educational retail,https://www.logistec.com/wp-content/uploads/2017/12/placeholder.png,nlg,"Sustainability


",vocabulary_ich_1286,1,Eternal Newbies,MT12,MT12,,,,Sustainability,,,,Organizing courses and workshops to help customers make the best choices and the best use of the products/services they buy.,logistics,2,0,0
