"url","title","description","image"
"http://digitaldetoxholidays.com/","Digital Detox Holidays and Hotels","Since you became increasingly addicted to your devices, we have been selecting hotels that are offering detox holidays to help you de-stress.",
"https://www.finery.com/","Finery","The world's first operating system for your wardrobe.","https://res.cloudinary.com/ffinery/image/upload/v1/Site%20Images/Asset_Updated.png"
"https://www.ebayinc.com/stories/blogs/tech/interactive-visual-search/","Interactive Visual Search","Interactive visual search with user feedback helps buyers find the perfect item and while enjoying the exploratory journey.","https://static.ebayinc.com/static/assets/Uploads/Blog/Posts/_resampled/ScaleWidthWyIxMDI0Il0/Figure-5.png"
"https://www.wasteless.co/","Wasteless","Reduce food waste and increase sales with dynamic pricing","/Bs.WebApp.Models.Page/1/meta_image.png"
"https://www.amazon.com/Dash-Buttons/b?ie=UTF8&node=10667898011",,,
"https://www.munchingmongoose.co.za/","The Munching Mongoose - Fresh organic and more | The Munching Mongoose","Helping families live healthy and happy lives. Spend more time with loved ones around the dinner table. Home delivery of fresh and organic produce","https://www.munchingmongoose.co.za/"
"http://www.eyalter.com/en/tunnel-decision/","Experience | EY ALTER","EY ALTER - #eyalter - Du kannst dich mal kennenlernen. Die Mitmachausstellung im Gasometer auf dem EUREF-Campus Berlin Schöneberg. Eine Idee von Mercedes-Benz.","http://www.eyalter.com/wp-content/uploads/Ey-Alter00_04-2_3-1.jpg"
"https://news.sap.com/2015/03/young-old-powerful-combination/","Young and Old: A Powerful Combination - SAP News Center","The SAP initiative ""mature talents"" wants to support cooperation across generations and help managers understand the needs of different age groups.","https://news.sap.com/wp-content/blogs.dir/1/files/shutterstock_92090723FEATURE-950x320.jpg"
"https://www.bitc.org.uk/resources-training/resources/impact-stories/ageing-workforce-award-barclays","The Ageing Workforce Award: Barclays","Greater engagement of older workers will help to fill skills gap says Barclays.Action and Impact Barclays has been working hard to actively engage and retain its so-called ‘midlife’ staff, acknowledging the need for its employees to better reflect its customers.",
"https://www.thebodyshop.com/en-us/about-us/against-animal-testing","Forever Against Animal Testing | Cruelty Free | The Body Shop®","We at The Body Shop are forever against animal testing - help us to convince the government that product testing on animals should be banned in the USA.",
"http://www.geltor.com/n-collage/","403 Forbidden",,
"https://www.poulehouse.fr/","Home","startup - oeuf - poule pondeuse - mode de production - sans abattage - elodie pellegrain - sebastien neusch - fabien sauleman - sexage in-ovo",
"https://www.quorn.co.uk","Recipes, Products and News from Quorn. Healthy Protein. Healthy Planet.","Enjoy healthy, low fat vegetarian versions of your favourite recipes. Browse products & learn about our mission to produce healthy protein for a healthy planet.","https://www.quorn.co.uk/img/content/share-home.jpg"
"https://www.marksandspencer.com/c/food-to-order/adventures-in-food/plant-kitchen","Plant Kitchen | M&S","Shop the latest trends in Plant Kitchen at M&S.  Order online for home delivery or free collection from your nearest store.",
