Nome do destaque,tipo de destaque,mega trend associada,micro trend associada #1,micro trend associada #2,Descrição,Link #1,Link #2,Images,Videos,Previous work in SONAE,Previous work in SONAE link,How to approach?,NOTAS/comentários.,threat_categories
Genius Bar Experience,Trend Evidence,Informed People,Liquid Expectations,Authentic People,"""One of the specific ways that the Genius Bar works is by appointment. Apple customers are encouraged to make appointments before visiting the store in order to get quick and personalized service. In some cases, this practice has become controversial for customers who would prefer to get walk-in repair service. Nevertheless, the Genius Bar service is generally part of Apple’s reputation for superior customer service and its dominant position in the consumer hardware market."" Customers compare their visit to the Genius bar to their visit to the doctor",https://www.huffingtonpost.com/entry/what-healthcare-needs-is-a-genius-bar-approach_us_59ef47fde4b08bce72fe03ab,https://www.techopedia.com/definition/29516/genius-bar,https://amp.businessinsider.com/images/51fba92becad040b6f000013-750-499.jpg,,,,,,vocabulary_ich_1263
Virtual Try-On Tools,Trend Enabling Partner,Informed People,Try Before You Buy,,"It is possible to virtually try-on beauty products that can go from makeup to glasses. Just select the wanted color and the reference, point the camera and choose which is perfect for you.",https://www.eyeconic.com/help-me/virtual-try-on,https://mashable.com/2017/06/22/meitu-makeup-counter/?europe=true#DiO2DQUfVkqE,https://mondrian.mashable.com/uploads%252Fcard%252Fimage%252F515633%252F0666c36e-fbc2-462f-966e-8a018f2068c4.jpg%252Ffit-in__1200x9600.jpg,,,,,https://www.cosmeticsdesign-europe.com/Article/2018/05/25/8-leading-augmented-reality-innovations-for-beauty-L-Oreal-s-latest-efforts,vocabulary_ich_1263
Warby Parker,Real Trend Implementation,Informed People,Try Before You Buy,,"Warby Parker, is an American online retailer of prescription glasses and sunglasses. The ""Home-Try-On program"" allows customers to choose five frames from the website, which they receive to try on at home for five days, free of charge. Customers can also upload a photo and try on frames virtually.",www.warbyparker.com,,https://www.growthmarketingpro.com/wp-content/uploads/2017/07/warby-parker-ecommerce.png,,,,,,vocabulary_ich_1263
Hema'S 1-Hour  Grocery Delivery,Real Trend Implementation,Continuous Connection,Instant Gratification,Quicker Frequent Shopping,"Hema is a grocery store chain operated by Alibaba that provides half-hour deliveries using to Robots, apps and overhead conveyor belts to speedy the picking process. Groceries are collected by the driver from one of the multiple delivery service companies that exist in 1st tier Chinese cities that ride its motorcycle towards the delivery address. ",https://medium.com/@jinghanhao/experiencing-new-retail-in-china-hema-fresh-a5ba4c94da22,https://www.cnbc.com/2018/08/30/inside-hema-alibabas-new-kind-of-superstore-robots-apps-and-more.html,"https://cdn-images-1.medium.com/max/1600/1*mQhlb0o4bPQY4FHgNya1rw.png,https://fm.cnbc.com/applications/cnbc.com/resources/img/editorial/2018/08/30/105424221-1535617044324gettyimages-847217038.jpeg,https://cdn-images-1.medium.com/max/1600/0*iu6zJ2lxNyEdEBK0.jpg",https://www.youtube.com/watch?v=UDIvWdwVZMg,,,,,vocabulary_ich_1268
Amazon's recruitment of Delivery Businesses,Real Trend Implementation,Continuous Connection,Instant Gratification,Quicker Frequent Shopping,"Amazon is recruiting entrepreneurs to expand its network of partners for last mile delivery. This reduces the risk associated with relying on big powerful currier operators such as DHL or UPS. Amazon provide services to launched companies such as training, insurance packs or privileged access to vehicles.",https://www.inc.com/bill-murphy-jr/amazon-is-recruiting-entrepreneurs-to-local-start-delivery-companies-heres-why-i-think-some-people-could-get-rich.html,https://www.retailwire.com/discussion/amazon-calls-on-entrepreneurs-to-help-deliver-its-packages/,https://static-24.sinclairstoryline.com/resources/media/d2be674d-cfab-4dc8-bf82-d4c7de5d5dda-large16x9_AP18180678036194.jpg,,,,,,vocabulary_ich_1268
Food Sharing With Neighbors,Trend Enabling Partner,Sustainability,Zero Waste,,"OLIO connects neighbours with each other and with local shops so surplus food and other items can be shared, not thrown away.
If you love food, hate waste, care about the environment or want to connect with your community, OLIO is for you.",https://olioex.com/,,https://s-media-cache-ak0.pinimg.com/originals/73/2f/68/732f682e1afd4bf599d8f391b9481d2e.png,,,,,,vocabulary_ich_1286
Hidro Soluble - Pvoh Packaging,Trend Enabling Technology,Sustainability,War On Plastic,,"PVOH (Polyvinyl alcohol) is a synthetic polymer that degrades when is in contact with water and do not contaminate. It has no odor and is not toxic, and is resistant to grease, oils, and solvents. It is ductile but strong, flexible, and functions as a high oxygen and aroma barrier. It can be used to do plastic bags or other packagings.",https://www.noticiasmagazine.pt/2018/sacos-plastico-amigos-do-planeta-sim-ja-existem/ ,http://solubag.cl/,http://cdn-cv.r4you.co/wp-content/uploads/2018/07/imagenPrincipal-499-800x400.jpg,https://www.youtube.com/watch?v=y-fIAhAWWrY,A study is under development to explore the possibility of using this material in bags for groceries or dry products sold in bulk (e.g. fruits and vegetables).,,"STUDY this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,vocabulary_ich_1286
Collaborative Robots For Food Production,Trend Enabling Technology,Informed People,Liquid Expectations,,Robots can be applied to a variety of food production systems to improve performance. ,https://food.ndtv.com/food-drinks/robots-used-for-packaging-processing-fruits-and-veggies-1208177,https://www.iflscience.com/technology/robot-chef-home-could-arrive-2017/,http://blog.wikipme.fr/wp-content/uploads/2017/10/Bruno_2__1_.0.jpg,https://youtu.be/hXSeK5T2yII,,,"STUDY this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,vocabulary_ich_1263
Artificial Vision For Stock Management,Trend Enabling Technology,Informed People,Liquid Expectations,,"Artificial vision promises real time analysis of video footage to monitor, control and report any visible situation with minimal-to-none human intervention. By analyzing images collected in the stores it would be possible to identify out-of-stock items, low stock items, misplaced items, and pricing and planogram errors.  ",https://www.rw3.com/image-recognition-at-the-shelf-the-solution-to-solve-on-shelf-availability/,https://www.traxretail.com/,http://ww1.prweb.com/prfiles/2018/05/29/15517832/image%20recognition%20technology.png,,A study of several technologies from multiple partners has been done during 2018. The economic viability is not proved with the current data. Technical alternative are being explored based on low-cost sensors.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",,vocabulary_ich_1263
Artificial Intelligence For Employee Assistence,Trend Enabling Technology,Authenticity/Disconnection,Authentic People,Instant Written Customer Service,"Chatbots are about delivering convenience, personalization, and decision support while people are multitasking. Either for customers on the go, for allow call centers operators reach valuable information about the requirements of the multiple customers they are chatting with, or for sales associates to access details about products and customers while assisting a client.",https://www.akumina.com/office-365/akumina-helping-to-enable-retail-execution-at-nrf-2018-retails-big-show/,,https://www.petfoodindustry.com/ext/resources/Images-by-month-year/16_06/woman-salesman-using-tablet-in-pet-store.jpg,,A previous study and a Proof-of-concept of a chatbot is about to be launched to assist post sales needs of Continente Online customers.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",,vocabulary_ich_1265
Artificial Intelligence For Customer Profiling,Trend Enabling Technology,Authenticity/Disconnection,Authentic People,,"Sensors (e.g. cameras or microphones) capture customer's images or voice to be processed using algorithms. The output are details about the profile of the customers such as mood, age or gender that can be delivered to sales associates or to call center operators to deliver an appropriate service.",https://behavioralsignals.com/behavioral-patterns/,,https://static01.nyt.com/images/2013/10/13/business/13-TECHNO-SUB/13-TECHNO-SUB-articleLarge.jpg,,,,"STUDY this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,vocabulary_ich_1265
Artificial Intelligence For Recommendations,Trend Enabling Technology,Seamlessness/Ease,Too Much Choice/ Simplification,,"Machine learning and optimization algorithms can look for and exploit observed patterns, correlations, and relationships among data elements of customer’s purchases. 
In this way, automatic suggestion of discounts based on previous and continuous purchases. ",https://shelf.ai/,,http://linktoleaders.com/wp-content/uploads/2018/01/shutterstock_683493121.jpg,,Smart continent APP has recommendation functionalities based in purchase history. Use other data to improve recommendation accuracy can be explored as next step.,,"STUDY this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,vocabulary_ich_1269
Agrivoltaics,Trend Enabling Technology,Sustainability,Renewable Charged Future,,"A way of combining renewable energy with agriculture in a hot, arid landscape, positioning elevated solar panels over an understory of plants.",https://www.wired.co.uk/article/energy-agrivoltaic-farms,http://www.agrophotovoltaik.de/,https://sunagri.fr/wp-content/uploads/2017/04/Arboriculture-vue-1-Modif-5-06-2017-e1496999309325-1120x340.jpg,,,,Keep VIGILANT WATCH over this technology checking up its maturity following the involved players.,,vocabulary_ich_1286
Reusable Container Program,Real Trend Implementation,Sustainability,Bulk Foods,,The Bulk Nation USA launched a program to encourage customers to bring their own containers to be filled with the products being sold in bulk at their stores. Hygiene and food safety concerns are covered in the program as well as the process to tare the containers before filling.,,,,,,,,,vocabulary_ich_1286
Smartflower,Trend Enabling Partner,Sustainability,Renewable Charged Future,,All-in-one solar module that includes a sun tracker and storage capacity capable of enabling off the grid buildings.,https://youtu.be/vZuQOUA9rLk,,,https://youtu.be/vZuQOUA9rLk,,,,,vocabulary_ich_1286
Solar Panel Windows,Trend Enabling Technology,Sustainability,Renewable Charged Future,,"SmartWindow controls inside systems, such as ventilation and sun blinds, based on information about the outside conditions around the building. Simultaneously these systems are powered by patented integrated solar technology, making energy consumption go down, while the sustainable electricity production of the building goes up.",https://news.energysage.com/solar-panel-windows-solar-blinds/,https://www.sustainability-times.com/green-consumerism/delivering-on-design-that-brings-solar-energy-home/,"https://images.pexels.com/photos/432185/pexels-photo-432185.jpeg,https://wp.physee.eu/wp-content/uploads/2018/08/Home-e1534845282140.jpg",,,,Keep VIGILANT WATCH over this technology checking up its maturity following the involved players.,,vocabulary_ich_1286
 Tesla Solar And Powerpack Systems,Trend Enabling Partner,Sustainability,Renewable Charged Future,,"Commercial organizations and government entities can achieve greater control, reliability and security with our solar and Powerpack systems. Powerpack integrates seamlessly with solar to shave peak energy usage, lower demand charges and generate new revenue streams from grid services and demand response programs.",https://www.tesla.com/en_EU/energy,https://news.energysage.com/tesla-solar-panel-roof-the-next-solar-shingles/,https://www.tesla.com/sites/default/files/images/energy/solarroof-smooth-glass.jpg,,,,,,vocabulary_ich_1286
Artificial Vision for Autonomous Stores,Trend Enabling Technology,Seamlessness/Ease,A-Commerce,Quicker Frequent Shopping,"Sensei and Trigon Vision are startups that aim to challenge the Amazon Go concept in other retainers. They use comouter vision to recognize what each product looks like when it goes into a customer’s hand or shopping basket, providing a scalable, seamless store-wide solution that empowers the stores of the future to be check-out and cash free.",https://www.prnewswire.com/news-releases/israel-s-shufersal-the-first-supermarket-chain-to-offer-customers-amazon-go-experience-with-trigo-vision-872123282.html,https://www.sensei.tech/,https://www.sensei.tech/wp-content/uploads/tech-dragger2.jpg,,SONAE is approaching both companies (Sensei and Trigo Vision) to explore the possibility of test the staff less store concept with our customers.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",https://www.fastcompany.com/90200376/amazon-gos-auto-checkout-challengers-are-piling-up-meet-one-of-the-most-ambitious,vocabulary_ich_1269
Exosqueletons,Trend Enabling Technology,Corporate Responsibility,Aging Workforce,,Robotic devices are used to improve the life and everyday activities of people with reduced mobility and with heavy tasks by using robotics and other devices that fit in our bodies. These devices helps with the movement.,https://exoskeletonreport.com/product-category/exoskeleton-catalog/industrial/,,http://en.laevo.nl/wp-content/uploads//2018/07/easy-to-wear.png,,A study about exoskeletons and other wearable for injury prevention is available. Currently an experiment in under discussion.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",,vocabulary_ich_1284
Pha - Waste Based Bioplastic,Trend Enabling Technology,Sustainability,Zero Waste,War On Plastic,"polyhydroxyalkanoates (PHA) are polyesters produced in nature by numerous microorganisms, including through bacterial fermentation of sugar or lipids. PHA have active properties and act as a passive barrier to reduce food waste by prolonging food shelf life. PHA can be produced using food industry by-products, such as cheese whey and almond shells, which assure the biodegradability and recyclability, and reduce food waste.",https://www.ypack.eu/,,"https://www.kunststoffe.de/en/_storage/asset/4825988/storage/chv-zoom/file/34841439/16731297.jpg,https://www.organicgardener.com.au/sites/default/files/styles/620x/public/images/blogs/Unknown-1_0.png,https://www.eufic.org/images/uploads/food-safety/_euthumb/YPACK-green.png",,The Y-pack funded project is under development to experiment 2 PHA based packages for fresh fuit: a fully renewable flow pack film and fully compostable tray.,,"EXPERIMENT this technology building on the previous work exploring its viability and feasibility to tackle actual challenges, experimenting in the field and measuring the benefits to the business.",,vocabulary_ich_1286
Structured Emulsions And Edible Oleogels,Trend Enabling Technology,Experiences,Healthy Junk Food,,"Structured emulsions and edible oleogels are solutions to substitute solid unhealth fats (e.g. butter) with liquid heathy fats (e.g. linen oil). This allows the production of crunchy meltable food containing fatty acids instead of saturated fats (e.g. chocolate, cookies).",http://www.emulsar.com/,,https://i2.wp.com/learntolovefood.com/wp-content/uploads/2015/01/2015-01-26-08-54-05.jpg,,"An internal study exploring the use of oleogels to replace animal fat with linen oil in sausages or hamburgers concluded that this application is to economically viable. Other applications in sauces, chocolate or cookies were not explored.",,"Study this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,vocabulary_ich_1287
Genetic Metabolic Analysis,Trend Enabling Technology,Health And Wellness,Functional Food,Personalized Food,"The genetic metabolic analysis determines how the client digests the macronutrients (carbohydrates, proteins and fats ) which are differently digested by people. This way it is possible to recommend the diet type which is likely to work best for the client.",https://www.cogap.de/en,https://www.vox.com/2016/11/2/13453434/personalized-diet-nutrition-dna,https://cdn.vox-cdn.com/thumbor/_DgeJfMtFSnt-LSMrXMF15XEmXI=/0x0:2124x1593/920x613/filters:focal(0x0:2124x1593):format(webp)/cdn.vox-cdn.com/uploads/chorus_image/image/51633001/dna-lettuce-3.0.0.jpg,,,,"Study this technology to learn who can bring it to the market, what are the associated business models, which are the challenges it can address, and what is the viability and feasibility to address them.",,vocabulary_ich_1264
A2 Milk,Trend Enabling Partner,Health And Wellness,Functional Food,,"A2 milk is cow's milk that mostly lacks a form of ?-casein proteins called A1 and instead has mostly the A2 form which many believe causes the same gut problems as lactose intolerance. The australian A2 Milk Company claims that this milk is a result of breeding, not GMOs, brough this product to the market and has 10% of milk market share in Australia.",https://thea2milkcompany.com/, ,https://demedbook.com/images/1/a2-milk-what-you-need-to-know.jpg,,,,,https://www.nutraceuticalsworld.com/issues/2018-11/view_features/key-trends-in-functional-foods-beverages-for-2019,vocabulary_ich_1264
Nano Influencers,Trend Enabling Partner,Informed People,Eternal Newbies,,"Tubular is the only company that measures all video content cross-platform, all-device, globally. Allowing the shift from micro influencer to nano influencers.",https://tubularlabs.com/,https://www.forbes.com/sites/dbloom/2019/01/01/influencer-marketing-top-trends-2019/#3ff4e706b255,,,,,,,vocabulary_ich_1263
Vlogging Retail,Real Trend Implementation,Continuous Connection,Lifecasting,,"Food With Fleur & Mike"" is Sainsbury's Youtube channel starring beauty and fashion vlogger Fleur De Force and her husband, Mike, trying new recipes for the first time or attempting to cook some of their favorite dishes. Each video scores around 25,000-50,000 views.",https://www.youtube.com/channel/UCOYTXGVqi_SKtbO6X6-baJQ,,https://images.pexels.com/photos/1615824/pexels-photo-1615824.jpeg,https://www.youtube.com/watch?v=nJJlE6qRBPI,,,,,vocabulary_ich_1268
Digital Detox Holidays,Real Trend Implementation,Authenticity/Disconnection,Authentic people,,"DigitalDetox is a website that helps users selecting hotels that are offering detox holidays to help them de-stress. No Wi-Fi, zero cell reception, a tech-free attitude and lots of human interactions are the main attractions of these experiences.",http://digitaldetoxholidays.com/,,https://images.pexels.com/photos/691919/pexels-photo-691919.jpeg,,,,,,vocabulary_ich_1265
Artificial Intelliigence for Instant Written Customer Service,Real Trend Implementation,Seamlessness/Ease,Instant Written Customer Service,,"Claire is an AI-powered assistant that ""oversees all the admin of corporate travel, booking flihgts, filing expenses and assisting employees in transit"".",https://www.30secondstofly.com/,,https://images.pexels.com/photos/731217/pexels-photo-731217.jpeg,,,,,,vocabulary_ich_1269
Food Traceability,Real Trend Implementation,Experiences,Storytelling,,"IBM's Food Trust Ledger allows consumers to discover the whole story of the products, from farm to shelf",https://www.ibm.com/blockchain/solutions/food-trust,,https://images.pexels.com/photos/162637/watering-watering-can-man-vietnam-162637.jpeg,,,,,,vocabulary_ich_1287
FoodPrint,Real Trend Implementation,Hiper Personalization,Personalized Content,,"""Nutrino collects data on both food composition and individuals' health and, through its trademarked FoodPrint technology, combines the two to analyse how people's bodies react to different foods. It then makes personalised suggestions, recommending the foods that are the healthiest possible choices for the individual in question.""",https://www.nutrinohealth.com/,,https://images.pexels.com/photos/139259/pexels-photo-139259.jpeg,,,,,,vocabulary_ich_1267
